Episode,AvgQValue
100,0.00774673
200,0.0157436
300,0.0239525
400,0.0332098
500,0.0419293
600,0.0509567
700,0.0592682
800,0.0655899
900,0.0729636
1000,0.0796349
1100,0.0871679
1200,0.0955345
1300,0.103172
1400,0.109626
1500,0.117399
1600,0.121837
1700,0.128232
1800,0.13279
1900,0.138664
2000,0.14486
2100,0.150718
2200,0.156975
2300,0.161609
2400,0.167476
2500,0.172189
2600,0.177831
2700,0.182383
2800,0.187923
2900,0.192384
3000,0.197402
3100,0.201827
3200,0.206544
3300,0.210624
3400,0.214494
3500,0.219569
3600,0.223543
3700,0.228616
3800,0.232503
3900,0.235978
4000,0.240264
4100,0.244469
4200,0.24903
4300,0.252264
4400,0.255949
4500,0.259033
4600,0.262832
4700,0.265745
4800,0.268387
4900,0.271276
5000,0.274944
5100,0.278629
5200,0.282391
5300,0.285539
5400,0.288169
5500,0.291527
5600,0.29414
5700,0.296953
5800,0.299286
5900,0.30199
6000,0.304493
6100,0.306822
6200,0.308791
6300,0.311171
6400,0.313558
6500,0.315955
6600,0.318534
6700,0.320957
6800,0.323354
6900,0.325834
7000,0.327749
7100,0.329966
7200,0.331868
7300,0.333763
7400,0.33603
7500,0.338178
7600,0.33995
7700,0.341823
7800,0.344047
7900,0.345654
8000,0.347396
8100,0.349127
8200,0.351032
8300,0.352592
8400,0.35456
8500,0.356629
8600,0.358358
8700,0.360246
8800,0.362108
8900,0.363822
9000,0.365954
9100,0.367828
9200,0.369228
9300,0.371058
9400,0.373016
9500,0.374602
9600,0.375943
9700,0.377457
9800,0.37915
9900,0.380597
10000,0.382176
10100,0.383349
10200,0.384752
10300,0.386245
10400,0.387827
10500,0.388987
10600,0.390259
10700,0.391679
10800,0.393054
10900,0.394472
11000,0.395912
11100,0.397222
11200,0.398584
11300,0.399949
11400,0.40104
11500,0.402251
11600,0.403808
11700,0.404736
11800,0.405874
11900,0.407172
12000,0.408391
12100,0.409603
12200,0.410769
12300,0.412078
12400,0.413155
12500,0.414201
12600,0.415284
12700,0.416419
12800,0.417629
12900,0.41871
13000,0.419873
13100,0.421086
13200,0.421886
13300,0.423119
13400,0.424318
13500,0.425464
13600,0.426764
13700,0.427611
13800,0.428776
13900,0.429724
14000,0.430872
14100,0.431708
14200,0.432757
14300,0.433777
14400,0.434408
14500,0.435563
14600,0.436366
14700,0.437218
14800,0.438007
14900,0.438786
15000,0.439755
15100,0.440579
15200,0.441431
15300,0.442485
15400,0.443399
15500,0.444532
15600,0.445493
15700,0.446413
15800,0.447231
15900,0.448052
16000,0.44885
16100,0.449569
16200,0.450755
16300,0.45148
16400,0.45224
16500,0.452932
16600,0.45376
16700,0.454549
16800,0.455339
16900,0.456086
17000,0.45694
17100,0.457589
17200,0.458392
17300,0.459276
17400,0.459964
17500,0.460819
17600,0.461611
17700,0.462261
17800,0.46312
17900,0.463914
18000,0.464563
18100,0.465044
18200,0.465736
18300,0.466366
18400,0.467091
18500,0.46779
18600,0.468322
18700,0.468931
18800,0.469721
18900,0.470435
19000,0.471013
19100,0.471722
19200,0.472446
19300,0.473067
19400,0.473962
19500,0.474698
19600,0.475354
19700,0.475958
19800,0.476525
19900,0.477135
20000,0.477715
20100,0.478282
20200,0.478934
20300,0.479405
20400,0.480004
20500,0.480572
20600,0.481065
20700,0.481559
20800,0.482141
20900,0.482702
21000,0.483137
21100,0.483675
21200,0.484248
21300,0.484677
21400,0.485249
21500,0.485859
21600,0.486354
21700,0.486878
21800,0.487383
21900,0.487858
22000,0.488416
22100,0.488943
22200,0.489333
22300,0.489856
22400,0.490313
22500,0.490779
22600,0.491296
22700,0.491742
22800,0.492286
22900,0.492799
23000,0.493372
23100,0.493908
23200,0.49445
23300,0.494992
23400,0.49552
23500,0.49605
23600,0.496489
23700,0.496858
23800,0.497265
23900,0.497698
24000,0.498221
24100,0.498726
24200,0.499243
24300,0.499682
24400,0.500048
24500,0.500468
24600,0.500929
24700,0.501353
24800,0.501804
24900,0.502202
25000,0.502639
25100,0.503034
25200,0.503361
25300,0.503799
25400,0.504307
25500,0.504596
25600,0.505058
25700,0.505498
25800,0.50591
25900,0.506282
26000,0.506594
26100,0.506944
26200,0.507291
26300,0.507589
26400,0.508021
26500,0.508364
26600,0.508776
26700,0.509101
26800,0.50948
26900,0.509828
27000,0.510102
27100,0.510392
27200,0.510687
27300,0.511041
27400,0.511321
27500,0.511548
27600,0.511824
27700,0.512142
27800,0.512451
27900,0.512713
28000,0.51301
28100,0.513341
28200,0.513596
28300,0.513879
28400,0.514147
28500,0.514464
28600,0.5147
28700,0.514944
28800,0.515249
28900,0.515473
29000,0.515709
29100,0.515931
29200,0.516164
29300,0.516437
29400,0.516671
29500,0.516914
29600,0.517112
29700,0.517425
29800,0.51776
29900,0.518012
30000,0.518287
30100,0.518497
30200,0.518843
30300,0.519214
30400,0.519519
30500,0.519789
30600,0.520122
30700,0.520374
30800,0.520674
30900,0.520911
31000,0.521138
31100,0.521451
31200,0.521711
31300,0.521951
31400,0.522161
31500,0.522368
31600,0.522649
31700,0.522873
31800,0.523124
31900,0.523362
32000,0.523568
32100,0.523777
32200,0.524012
32300,0.524244
32400,0.524501
32500,0.524806
32600,0.525041
32700,0.525309
32800,0.525664
32900,0.52596
33000,0.526245
33100,0.526531
33200,0.526757
33300,0.526968
33400,0.527274
33500,0.527516
33600,0.527761
33700,0.527993
33800,0.528219
33900,0.528489
34000,0.528766
34100,0.529038
34200,0.529278
34300,0.52954
34400,0.529793
34500,0.530027
34600,0.53027
34700,0.53055
34800,0.530766
34900,0.531002
35000,0.531244
35100,0.531452
35200,0.531656
35300,0.531899
35400,0.532148
35500,0.532409
35600,0.532644
35700,0.532839
35800,0.533108
35900,0.533321
36000,0.533538
36100,0.533773
36200,0.533993
36300,0.534226
36400,0.534431
36500,0.534651
36600,0.534892
36700,0.535127
36800,0.535367
36900,0.535587
37000,0.535788
37100,0.536015
37200,0.536288
37300,0.536518
37400,0.53671
37500,0.536904
37600,0.537192
37700,0.537401
37800,0.537657
37900,0.537851
38000,0.538104
38100,0.538336
38200,0.538566
38300,0.538739
38400,0.538945
38500,0.539113
38600,0.53928
38700,0.539513
38800,0.539676
38900,0.539888
39000,0.540095
39100,0.54027
39200,0.540424
39300,0.540608
39400,0.540795
39500,0.540914
39600,0.541076
39700,0.541245
39800,0.541383
39900,0.541572
40000,0.541772
