Episode,AvgError
100,0.0632287
200,0.0905862
300,0.117057
400,0.140867
500,0.16023
600,0.175636
700,0.193002
800,0.206231
900,0.217201
1000,0.227358
1100,0.236672
1200,0.242551
1300,0.247603
1400,0.251945
1500,0.254708
1600,0.25649
1700,0.25767
1800,0.25833
1900,0.257654
2000,0.257007
2100,0.255138
2200,0.254217
2300,0.253345
2400,0.251779
2500,0.250081
2600,0.24815
2700,0.245121
2800,0.242457
2900,0.240063
3000,0.237312
3100,0.234464
3200,0.231501
3300,0.228775
3400,0.225387
3500,0.223063
3600,0.219038
3700,0.215475
3800,0.212277
3900,0.20924
4000,0.206049
4100,0.202754
4200,0.199322
4300,0.196336
4400,0.192982
4500,0.190354
4600,0.187265
4700,0.183894
4800,0.181195
4900,0.177899
5000,0.175302
5100,0.17201
5200,0.169777
5300,0.16654
5400,0.164009
5500,0.16118
5600,0.158505
5700,0.155958
5800,0.154439
5900,0.152169
6000,0.150026
6100,0.147436
6200,0.145255
6300,0.143263
6400,0.141067
6500,0.138866
6600,0.137104
6700,0.134967
6800,0.133018
6900,0.130637
7000,0.128382
7100,0.126749
7200,0.12454
7300,0.122441
7400,0.121062
7500,0.119297
7600,0.117729
7700,0.116095
7800,0.114517
7900,0.113142
8000,0.111553
8100,0.109975
8200,0.108398
8300,0.106977
8400,0.105748
8500,0.104483
8600,0.103235
8700,0.102695
8800,0.101919
8900,0.101232
9000,0.100445
9100,0.0996516
9200,0.0988839
9300,0.098108
9400,0.0976213
9500,0.0970152
9600,0.0964791
9700,0.0958271
9800,0.0949987
9900,0.0943584
10000,0.0938336
10100,0.0933154
10200,0.0927359
10300,0.0920493
10400,0.0915332
10500,0.0907723
10600,0.0901846
10700,0.0897416
10800,0.0891477
10900,0.0883189
11000,0.0874518
11100,0.0867066
11200,0.0856782
11300,0.0848235
11400,0.0839475
11500,0.0829349
11600,0.0820386
11700,0.0810056
11800,0.0798122
11900,0.0790978
12000,0.0778897
12100,0.0770457
12200,0.0762038
12300,0.0753392
12400,0.0743411
12500,0.0733147
12600,0.0723384
12700,0.0716207
12800,0.0707499
12900,0.0700247
13000,0.069211
13100,0.0687529
13200,0.0681622
13300,0.0676655
13400,0.0670637
13500,0.0667175
13600,0.0664724
13700,0.0660364
13800,0.0655173
13900,0.065206
14000,0.0647865
14100,0.0644776
14200,0.0642267
14300,0.0638715
14400,0.0636235
14500,0.0632212
14600,0.0627569
14700,0.0622534
14800,0.0618059
14900,0.0614546
15000,0.0610477
15100,0.060677
15200,0.0602068
15300,0.0600688
15400,0.0596491
15500,0.0593945
15600,0.0590779
15700,0.0589004
15800,0.0588507
15900,0.0587373
16000,0.058506
16100,0.0581948
16200,0.0578493
16300,0.0573861
16400,0.0570339
16500,0.0568052
16600,0.0566238
16700,0.0564086
16800,0.0560951
16900,0.0558097
17000,0.0553761
17100,0.0551344
17200,0.0549152
17300,0.0549962
17400,0.054971
17500,0.0549618
17600,0.0551059
17700,0.0551566
17800,0.0554373
17900,0.0555337
18000,0.0557033
18100,0.0556927
18200,0.0555611
18300,0.0554544
18400,0.0554487
18500,0.0553986
18600,0.0557203
18700,0.0559725
18800,0.0560544
18900,0.0560351
19000,0.055914
19100,0.0558171
19200,0.0556637
19300,0.0554879
19400,0.0553881
19500,0.0549984
19600,0.0548714
19700,0.0545784
19800,0.0545166
19900,0.0544432
20000,0.0543942
