Episode,DurationSeconds
1,0.00342086
2,0.00584817
3,0.0378686
4,0.00577026
5,0.00339211
6,0.00220027
7,0.0164186
8,0.0111424
9,0.0170046
10,0.0136523
11,0.00276982
12,0.0107071
13,0.00215743
14,0.0118731
15,0.01467
16,0.0043225
17,0.0344925
18,0.0317759
19,0.00249405
20,0.028059
21,0.00363578
22,0.00474852
23,0.00621048
24,0.0106172
25,0.00187778
26,0.0171462
27,0.0479841
28,0.00989963
29,0.0163192
30,0.00450911
31,0.0198197
32,0.0269476
33,0.000269602
34,0.00118237
35,0.0154293
36,0.0192198
37,0.00213146
38,0.0150928
39,0.0265673
40,0.0116905
41,0.0138961
42,0.0012714
43,0.00338779
44,0.00328626
45,0.00167959
46,0.0262257
47,0.0163617
48,0.0278927
49,0.0101539
50,0.00311255
51,0.00127896
52,0.0230353
53,0.00207538
54,0.00957832
55,0.0013016
56,0.0261013
57,3.2491e-05
58,0.00890052
59,0.00333135
60,0.00796129
61,0.0141601
62,0.000943988
63,0.0320598
64,0.0127822
65,0.00500932
66,0.000225891
67,0.0100167
68,4.7107e-05
69,0.0172319
70,0.00257297
71,0.00104938
72,0.0236628
73,0.00126576
74,0.00607723
75,0.000866052
76,0.000143016
77,0.00819812
78,0.00263457
79,0.010822
80,0.0058648
81,0.00324813
82,0.00351617
83,0.00725447
84,0.00527103
85,0.00172995
86,0.000963504
87,0.00302985
88,0.00374247
89,0.00183842
90,0.000208679
91,0.000171039
92,0.0130823
93,0.004972
94,0.0141336
95,0.00152221
96,0.00736321
97,0.0124738
98,0.00559784
99,0.00714168
100,0.00222006
101,0.00691407
102,0.000169015
103,0.00166123
104,0.00187178
105,0.00944821
106,0.000229247
107,0.0127442
108,0.00478167
109,0.00112907
110,0.004843
111,0.00110827
112,0.0142024
113,0.0014689
114,0.00525277
115,0.000142225
116,0.00980239
117,0.0074002
118,0.0124474
119,0.0122627
120,0.024215
121,0.000619915
122,0.0220468
123,0.0257246
124,0.0106055
125,0.00759779
126,0.000438035
127,0.00423859
128,0.0180719
129,0.00331381
130,0.00528781
131,0.00519128
132,0.00454877
133,0.00467249
134,0.0171616
135,0.0214332
136,0.0105215
137,0.0070047
138,3.4735e-05
139,0.00430463
140,0.000805219
141,0.00494336
142,0.00354496
143,3.1689e-05
144,0.00705722
145,0.00682177
146,0.00386441
147,0.00436692
148,0.000806762
149,0.0336693
150,0.00507879
151,0.00371118
152,0.00199547
153,0.00865858
154,0.000839883
155,0.0151328
156,0.00611274
157,0.0154014
158,0.00342656
159,0.00695765
160,0.00700648
161,0.000799418
162,0.000801042
163,0.00339373
164,0.0415284
165,0.00387467
166,0.00875552
167,0.00819752
168,0.0118294
169,0.00511453
170,0.0119612
171,0.0113725
172,8.3736e-05
173,0.0053971
174,0.00511991
175,0.0060132
176,0.0012056
177,0.0144565
178,0.0124889
179,0.00435622
180,0.00388048
181,0.00917215
182,0.00625528
183,0.00424331
184,0.000336947
185,0.0234327
186,0.000279551
187,0.00418676
188,0.00968876
189,0.00307533
190,0.0113315
191,0.00839537
192,0.00102573
193,0.00128044
194,0.0191885
195,0.0122316
196,0.00766907
197,0.00348653
198,0.000498287
199,0.0346306
200,0.0144106
201,0.00252218
202,0.00529843
203,0.0319539
204,0.00569268
205,0.0407198
206,0.00331679
207,0.0221854
208,0.00230712
209,0.00110541
210,0.00697538
211,0.00930649
212,0.00485424
213,0.00794247
214,0.00121089
215,0.0425315
216,0.0199479
217,0.0162827
218,0.00569532
219,0.00532812
220,0.0259324
221,0.0160376
222,0.0010107
223,0.0198423
224,0.003263
225,0.00505062
226,0.00407266
227,0.012605
228,0.00585373
229,0.00687688
230,0.00897796
231,0.0233767
232,0.000401848
233,0.00703195
234,0.00446796
235,0.00567032
236,0.0271266
237,0.00171988
238,0.00146364
239,0.00257026
240,0.00869786
241,0.0133568
242,0.00624773
243,0.0181512
244,0.0215622
245,0.00600512
246,0.00429609
247,0.0123928
248,0.00244491
249,0.00725637
250,0.00854916
251,0.0139534
252,0.0326574
253,0.00164906
254,0.000972461
255,0.00428035
256,0.0110798
257,0.0103987
258,0.0485851
259,0.00335272
260,0.00160859
261,0.00762332
262,2.9896e-05
263,0.0142579
264,0.000170357
265,0.0058623
266,0.00122358
267,0.011686
268,0.00106034
269,0.00160646
270,0.00922197
271,0.016687
272,0.00223863
273,0.0166916
274,0.00730452
275,0.0106354
276,0.000244545
277,0.00443284
278,0.000964837
279,0.00653538
280,0.00620429
281,0.00958355
282,0.00288038
283,0.000184183
284,0.00820188
285,0.00327784
286,0.000858769
287,3.1068e-05
288,0.00164316
289,0.0184829
290,0.000972911
291,0.00666906
292,0.00224832
293,5.8639e-05
294,0.0068662
295,0.00194765
296,0.00600171
297,0.0075704
298,0.0269779
299,0.0171986
300,0.00365645
301,0.00320823
302,0.0153448
303,0.0276242
304,0.008622
305,0.000297934
306,0.00772683
307,0.000836267
308,0.00447369
309,0.00455204
310,0.00503093
311,0.00699427
312,0.0173014
313,0.00365096
314,0.000270433
315,0.00620369
316,0.0375996
317,0.00238354
318,0.0149783
319,0.00253907
320,0.00309395
