Episode,MemoryMB
100,0.045166
200,0.0588379
300,0.0678101
400,0.0742493
500,0.0793762
600,0.0827332
700,0.0848389
800,0.0857849
900,0.086731
1000,0.087677
1100,0.0885925
1200,0.0895386
1300,0.0902405
1400,0.0906982
1500,0.0910034
1600,0.0911255
1700,0.0915527
1800,0.0917969
1900,0.092041
2000,0.0921021
2100,0.0922852
2200,0.0923767
2300,0.0926208
2400,0.0926819
2500,0.0927429
2600,0.092804
2700,0.0928345
2800,0.092865
2900,0.092926
3000,0.092926
3100,0.092926
3200,0.0929565
3300,0.0929565
3400,0.0929565
3500,0.0930176
3600,0.0930176
3700,0.0930786
3800,0.0930786
3900,0.0930786
4000,0.0930786
4100,0.0930786
4200,0.0931396
4300,0.0931396
4400,0.0931702
4500,0.0931702
4600,0.0931702
4700,0.0931702
4800,0.0931702
4900,0.0931702
5000,0.0932312
5100,0.0932312
5200,0.0932312
5300,0.0932312
5400,0.0932312
5500,0.0932312
5600,0.0931702
5700,0.0932007
5800,0.0930786
5900,0.0928955
6000,0.0928955
6100,0.0928955
6200,0.0928955
6300,0.0928955
6400,0.0928955
6500,0.0928955
6600,0.0928955
6700,0.0928955
6800,0.0928955
6900,0.0928955
7000,0.0928955
7100,0.0928955
7200,0.0928955
7300,0.0928955
7400,0.0928955
7500,0.0928955
7600,0.0928955
7700,0.0928955
7800,0.0928955
7900,0.0928955
8000,0.0928955
8100,0.0928955
8200,0.0928955
8300,0.0928955
8400,0.0928955
8500,0.0928955
8600,0.0928955
8700,0.0928955
8800,0.0928955
8900,0.0928955
9000,0.092865
9100,0.0928345
9200,0.0928955
9300,0.0928345
9400,0.0927429
9500,0.0927429
9600,0.0927429
9700,0.0927429
9800,0.0927429
9900,0.0927429
10000,0.0927429
10100,0.0927429
10200,0.0927429
10300,0.0927429
10400,0.0927429
10500,0.0927429
10600,0.0927429
10700,0.0927429
10800,0.0927429
10900,0.0927429
11000,0.0927429
11100,0.0927429
11200,0.0927429
11300,0.0927429
11400,0.0927429
11500,0.0927429
11600,0.0927429
11700,0.0927429
11800,0.0927429
11900,0.0927429
12000,0.0927429
12100,0.0927429
12200,0.0927429
12300,0.0927429
12400,0.0927429
12500,0.0927429
12600,0.0927429
12700,0.0927429
12800,0.0927429
12900,0.0927429
13000,0.0927429
13100,0.0927429
13200,0.0927429
13300,0.0927429
13400,0.0927429
13500,0.0927429
13600,0.0927429
13700,0.0927429
13800,0.0927429
13900,0.0927429
14000,0.0927429
14100,0.0927429
14200,0.0927429
14300,0.0927429
14400,0.0927429
14500,0.0927429
14600,0.0927429
14700,0.0927429
14800,0.0927429
14900,0.0927429
15000,0.0927429
15100,0.0927429
15200,0.0927429
15300,0.0927429
15400,0.0927429
15500,0.0927429
15600,0.0927429
15700,0.0927429
15800,0.0927429
15900,0.0927429
16000,0.0927429
16100,0.0927429
16200,0.0927429
16300,0.0927429
16400,0.0927429
16500,0.0927429
16600,0.0927429
16700,0.0927429
16800,0.0927429
16900,0.0927429
17000,0.0927429
17100,0.0927429
17200,0.0927429
17300,0.0927429
17400,0.0927429
17500,0.0927429
17600,0.0927429
17700,0.0927429
17800,0.0927429
17900,0.0927429
18000,0.0927429
18100,0.0927429
18200,0.0927429
18300,0.0927429
18400,0.0927429
18500,0.0927429
18600,0.0927429
18700,0.0927429
18800,0.0927429
18900,0.0927429
19000,0.0927429
19100,0.0927429
19200,0.0927429
19300,0.0927429
19400,0.0927429
19500,0.0927429
19600,0.0927429
19700,0.0927429
19800,0.0927429
19900,0.0927429
20000,0.0927429
20100,0.0927429
20200,0.0927429
20300,0.0927429
20400,0.0927429
20500,0.0927429
20600,0.0927429
20700,0.0926819
20800,0.0927429
20900,0.0927429
21000,0.0927429
21100,0.0927429
21200,0.0927429
21300,0.0927429
21400,0.0927429
21500,0.0927429
21600,0.0927429
21700,0.0927429
21800,0.0927429
21900,0.0927429
22000,0.0927429
22100,0.0927429
22200,0.0927429
22300,0.0927429
22400,0.0927429
22500,0.0927429
22600,0.0927429
22700,0.0927124
22800,0.0927429
22900,0.0927429
23000,0.0927429
23100,0.0927429
23200,0.0927124
23300,0.0927429
23400,0.0927429
23500,0.0927429
23600,0.0927429
23700,0.0927429
23800,0.0927429
23900,0.0927429
24000,0.0927429
24100,0.0927429
24200,0.0927429
24300,0.0927124
24400,0.0927429
24500,0.0927429
24600,0.0927429
24700,0.0927429
24800,0.0927124
24900,0.0927429
25000,0.0925903
25100,0.0927429
25200,0.0925903
25300,0.0926819
25400,0.0927124
25500,0.0927124
25600,0.0926819
25700,0.0927124
25800,0.0923767
25900,0.0926208
26000,0.0924377
26100,0.0924377
26200,0.0922546
26300,0.0922241
26400,0.0921631
26500,0.0921021
26600,0.0921021
26700,0.0921021
26800,0.0921021
26900,0.0921021
27000,0.0920715
27100,0.0921021
27200,0.0921021
27300,0.0921021
27400,0.0921021
27500,0.0921021
27600,0.0921021
27700,0.0921021
27800,0.0921021
27900,0.0921021
28000,0.0921021
28100,0.0920715
28200,0.0921021
28300,0.0921021
28400,0.0921021
28500,0.0921021
28600,0.092041
28700,0.0920715
28800,0.0920715
28900,0.092041
29000,0.0921021
29100,0.0920105
29200,0.09198
29300,0.0918884
29400,0.0918884
29500,0.0917664
29600,0.0918274
29700,0.0917053
29800,0.0916443
29900,0.0916443
30000,0.0916443
30100,0.0916443
30200,0.0916443
30300,0.0916443
30400,0.0916443
30500,0.0916443
30600,0.0916443
30700,0.0916443
30800,0.0916443
30900,0.0916443
31000,0.0916443
31100,0.0916443
31200,0.0916443
31300,0.0916443
31400,0.0916443
31500,0.0916443
31600,0.0916138
31700,0.0916443
31800,0.0916443
31900,0.0916443
32000,0.0916443
32100,0.0916443
32200,0.0916443
32300,0.0916443
32400,0.0916443
32500,0.0916443
32600,0.0916443
32700,0.0916443
32800,0.0916443
32900,0.0916443
33000,0.0916443
33100,0.0916443
33200,0.0916443
33300,0.0916443
33400,0.0916443
33500,0.0916443
33600,0.0916443
33700,0.0916443
33800,0.0916443
33900,0.0916443
34000,0.0916443
34100,0.0916443
34200,0.0916443
34300,0.0916443
34400,0.0916443
34500,0.0916443
34600,0.0916443
34700,0.0916443
34800,0.0916443
34900,0.0915833
35000,0.0916138
35100,0.0915833
35200,0.0915833
35300,0.0916443
35400,0.0916443
35500,0.0916443
35600,0.0916443
35700,0.0916138
35800,0.0916138
35900,0.0916443
36000,0.0916443
36100,0.0916138
36200,0.0916138
36300,0.0916138
36400,0.0915833
36500,0.0916443
36600,0.0915222
36700,0.0915833
36800,0.0915833
36900,0.0915833
37000,0.0915527
37100,0.0915527
37200,0.0915833
37300,0.0915833
37400,0.0915527
37500,0.0915527
37600,0.0914001
37700,0.0913391
37800,0.0913391
37900,0.0912476
38000,0.091095
38100,0.091156
38200,0.0909424
38300,0.0909119
38400,0.0908203
38500,0.0907898
38600,0.0907593
38700,0.0907593
38800,0.0906982
38900,0.0906372
39000,0.0906982
39100,0.0907593
39200,0.0907593
39300,0.0907593
39400,0.0907593
39500,0.0906982
