Episode,AvgQValue
100,38.6374
200,55.1611
300,63.9514
400,69.8989
500,73.8811
600,77.2846
700,80.0797
800,81.5164
900,82.9239
1000,84.4679
1100,85.4754
1200,86.227
1300,87.0534
1400,87.5626
1500,87.9784
1600,88.4342
1700,88.7522
1800,89.0357
1900,89.3102
2000,89.5225
2100,89.669
2200,89.7949
2300,89.9098
2400,90.0413
2500,90.1368
2600,90.2611
2700,90.3788
2800,90.4707
2900,90.5441
3000,90.6021
3100,90.6417
3200,90.6741
3300,90.7052
3400,90.7295
3500,90.7516
3600,90.7714
3700,90.7844
3800,90.7994
3900,90.8133
4000,90.8262
4100,90.8349
4200,90.8443
4300,90.8509
4400,90.8549
4500,90.8607
4600,90.8673
4700,90.8709
4800,90.8734
4900,90.8766
5000,90.8799
