Episode,Error
100,10.6072
200,1.19905
300,0.14643
400,0.0108205
500,0.00160694
600,0.000135092
700,1.20597e-05
800,2.31894e-06
900,3.9008e-07
1000,5.09737e-08
1100,5.65811e-09
1200,5.82871e-10
1300,1.02656e-10
1400,1.13979e-11
1500,8.65711e-13
1600,1.18689e-13
1700,3.96483e-14
1800,3.43334e-14
1900,3.43334e-14
2000,0.00185467
2100,0.000133147
2200,1.31119e-05
2300,2.42966e-06
2400,0.00767361
2500,0.000292766
2600,0.033694
2700,0.0178865
2800,0.00185422
2900,0.000193918
3000,1.71848e-05
3100,1.79993e-06
3200,2.52227e-07
3300,3.40722e-08
3400,3.00772e-09
3500,4.47429e-10
3600,1.57156e-11
3700,9.45278e-13
3800,1.19229e-13
3900,5.44702e-14
4000,3.38787e-14
4100,3.38787e-14
4200,3.38787e-14
4300,3.38787e-14
4400,3.38787e-14
4500,3.38787e-14
4600,3.38787e-14
4700,3.38787e-14
4800,3.38787e-14
4900,3.38787e-14
5000,3.38787e-14
