Episode,GoalVisits
1,1
2,2
3,0
4,2
5,5
6,1
7,0
8,1
9,2
10,0
11,0
12,1
13,1
14,1
15,0
16,2
17,3
18,3
19,4
20,7
21,1
22,10
23,4
24,7
25,4
26,5
27,8
28,6
29,10
30,6
31,8
32,6
33,8
34,8
35,8
36,6
37,7
38,7
39,7
40,9
41,10
42,10
43,7
44,9
45,10
46,8
47,6
48,9
49,9
50,8
51,8
52,6
53,11
54,9
55,9
56,10
57,8
58,11
59,8
60,9
61,8
62,8
63,9
64,6
65,12
66,8
67,9
68,7
69,8
70,10
71,9
72,9
73,9
74,8
75,9
76,5
77,8
78,11
79,6
80,9
81,7
82,8
83,10
84,9
85,7
86,8
87,10
88,9
89,9
90,10
91,10
92,9
93,11
94,9
95,10
96,8
97,10
98,8
99,7
100,8
101,10
102,7
103,7
104,8
105,9
106,9
107,9
108,7
109,8
110,8
111,9
112,7
113,9
114,12
115,8
116,11
117,8
118,9
119,9
120,9
121,10
122,9
123,7
124,11
125,7
126,11
127,7
128,9
129,6
130,9
131,9
132,9
133,11
134,7
135,10
136,9
137,7
138,11
139,9
140,9
141,8
142,9
143,10
144,9
145,8
146,8
147,9
148,8
149,7
150,8
151,7
152,8
153,7
154,12
155,8
156,10
157,8
158,8
159,9
160,9
161,9
162,7
163,11
164,9
165,9
166,5
167,9
168,8
169,9
170,9
171,9
172,6
173,7
174,10
175,7
176,9
177,8
178,9
179,8
180,9
181,9
182,11
183,6
184,10
185,9
186,9
187,7
188,8
189,8
190,8
191,10
192,7
193,10
194,7
195,6
196,11
197,11
198,8
199,7
200,8
201,11
202,7
203,9
204,10
205,7
206,6
207,7
208,8
209,11
210,8
211,8
212,11
213,10
214,9
215,8
216,10
217,9
218,7
219,9
220,9
221,11
222,7
223,8
224,7
225,9
226,8
227,10
228,10
229,8
230,7
231,9
232,10
233,9
234,8
235,7
236,9
237,8
238,7
239,7
240,8
241,8
242,7
243,9
244,8
245,11
246,7
247,10
248,8
249,10
250,10
251,10
252,10
253,9
254,10
255,8
256,6
257,10
258,11
259,8
260,8
261,8
262,8
263,10
264,8
265,7
266,8
267,9
268,11
269,6
270,10
271,9
272,10
273,8
274,8
275,9
276,7
277,8
278,10
279,8
280,8
281,8
282,9
283,9
284,9
285,9
286,10
287,7
288,7
289,7
290,9
291,10
292,7
293,6
294,9
295,8
296,8
297,8
298,8
299,8
300,7
301,7
302,9
303,11
304,6
305,10
306,9
307,9
308,7
309,7
310,7
311,8
312,9
313,11
314,7
315,11
316,7
317,7
318,8
319,9
320,7
321,10
322,9
323,9
324,8
325,11
326,8
327,8
328,8
329,8
330,8
331,9
332,8
333,10
334,10
335,8
336,8
337,9
338,8
339,10
340,8
341,8
342,9
343,9
344,10
345,11
346,10
347,8
348,7
349,7
350,9
351,8
352,10
353,8
354,10
355,9
356,9
357,6
358,8
359,9
360,8
361,11
362,6
363,11
364,7
365,9
366,9
367,6
368,7
369,10
370,8
371,8
372,9
373,9
374,9
375,9
376,10
377,10
378,8
379,8
380,11
381,13
382,7
383,8
384,8
385,7
386,7
387,8
388,7
389,7
390,9
391,5
392,6
393,8
394,8
395,8
396,8
397,6
398,8
399,8
400,9
401,9
402,7
403,8
404,9
405,10
406,8
407,9
408,8
409,8
410,8
411,11
412,8
413,11
414,8
415,8
416,7
417,8
418,7
419,8
420,9
421,8
422,9
423,8
424,8
425,9
426,8
427,8
428,7
429,8
430,10
431,7
432,10
433,8
434,9
435,8
436,7
437,8
438,10
439,11
440,8
441,9
442,7
443,11
444,11
445,9
446,7
447,5
448,12
449,8
450,5
451,10
452,10
453,7
454,9
455,9
456,8
457,8
458,10
459,6
460,9
461,9
462,10
463,11
464,8
465,9
466,9
467,11
468,9
469,10
470,9
471,8
472,11
473,8
474,7
475,9
476,9
477,9
478,9
479,9
480,10
481,10
482,8
483,9
484,7
485,9
486,7
487,10
488,8
489,9
490,7
491,9
492,7
493,8
494,8
495,9
496,8
497,9
498,11
499,8
500,7
501,7
502,7
503,7
504,9
505,9
506,6
507,11
508,8
509,6
510,10
511,10
512,9
513,8
514,9
515,9
516,8
517,10
518,7
519,8
520,8
521,9
522,10
523,8
524,10
525,8
526,9
527,7
528,8
529,6
530,9
531,8
532,9
533,9
534,11
535,9
536,8
537,6
538,6
539,9
540,8
541,8
542,10
543,9
544,9
545,9
546,7
547,8
548,11
549,9
550,11
551,9
552,9
553,8
554,6
555,8
556,8
557,8
558,9
559,6
560,8
561,7
562,11
563,7
