Episode,MemoryMB
100,0.00313568
200,0.00314331
300,0.00314331
400,0.00314331
500,0.00314331
600,0.00312805
700,0.00312042
800,0.00310516
900,0.00309753
1000,0.00309753
1100,0.00308228
1200,0.00307465
1300,0.00304413
1400,0.00304413
1500,0.00302124
1600,0.00299835
1700,0.00299835
1800,0.00298309
1900,0.00298309
2000,0.00297546
2100,0.00297546
2200,0.00297546
2300,0.00296783
2400,0.00296783
2500,0.00296783
2600,0.00295258
2700,0.00295258
2800,0.00293732
2900,0.00292969
3000,0.00292969
3100,0.00292969
3200,0.00292969
3300,0.00292969
3400,0.00292969
3500,0.00292206
3600,0.00291443
3700,0.00291443
3800,0.0029068
3900,0.0029068
4000,0.0029068
4100,0.0029068
4200,0.00289917
4300,0.00289917
4400,0.00289917
4500,0.00289917
4600,0.00289154
4700,0.00288391
4800,0.00288391
4900,0.00288391
5000,0.00287628
