Episode,AvgQValue
100,0.0204504
200,0.0453968
300,0.0707938
400,0.0768104
500,0.0867947
600,0.106221
700,0.113216
800,0.132343
900,0.142299
1000,0.160714
1100,0.181255
1200,0.190064
1300,0.198894
1400,0.212502
1500,0.234243
1600,0.247742
1700,0.264976
1800,0.279739
1900,0.287431
2000,0.299821
2100,0.311834
2200,0.31718
2300,0.331318
2400,0.333171
2500,0.349682
2600,0.353875
2700,0.367816
2800,0.377674
2900,0.383866
3000,0.395756
3100,0.40383
3200,0.412701
3300,0.422133
3400,0.430402
3500,0.431335
3600,0.439521
3700,0.44603
3800,0.450286
3900,0.462763
4000,0.473936
4100,0.480881
4200,0.490521
4300,0.492926
4400,0.501455
4500,0.509031
4600,0.516715
4700,0.52124
4800,0.535935
4900,0.554927
5000,0.558795
5100,0.573274
5200,0.571307
5300,0.574195
5400,0.581416
5500,0.593919
5600,0.599609
5700,0.604004
5800,0.612435
5900,0.619973
6000,0.61891
6100,0.626061
6200,0.629378
6300,0.63905
6400,0.647085
6500,0.656319
6600,0.658997
6700,0.661249
6800,0.669105
6900,0.671749
7000,0.675897
7100,0.678359
7200,0.683633
7300,0.69173
7400,0.697218
7500,0.708856
7600,0.714053
7700,0.722887
7800,0.723426
7900,0.733481
8000,0.744779
8100,0.753825
8200,0.75723
8300,0.764997
8400,0.76677
8500,0.777384
8600,0.781722
8700,0.783809
8800,0.788148
8900,0.793883
9000,0.797008
9100,0.804929
9200,0.813254
9300,0.822871
9400,0.828771
9500,0.833949
9600,0.839809
9700,0.851134
9800,0.858725
9900,0.866665
10000,0.870755
10100,0.872855
10200,0.877647
10300,0.887788
10400,0.891994
10500,0.892506
10600,0.895448
10700,0.901226
10800,0.910426
10900,0.916295
11000,0.923714
11100,0.93155
11200,0.938606
11300,0.94116
11400,0.944469
11500,0.951395
11600,0.952739
11700,0.96151
11800,0.968056
11900,0.96464
12000,0.97421
12100,0.971111
12200,0.97636
12300,0.982516
12400,0.985608
12500,0.988509
12600,0.995028
12700,0.997625
12800,1.00482
12900,1.00918
13000,1.01036
13100,1.01282
13200,1.02222
13300,1.02289
13400,1.0297
13500,1.03485
13600,1.0368
13700,1.04475
13800,1.05389
13900,1.05845
14000,1.06852
14100,1.07457
14200,1.08473
14300,1.09256
14400,1.10447
14500,1.10466
14600,1.10337
14700,1.10773
14800,1.11371
14900,1.12113
15000,1.12527
15100,1.13202
15200,1.14186
15300,1.14703
15400,1.1509
15500,1.15638
15600,1.1567
15700,1.16548
15800,1.17329
15900,1.18018
16000,1.18116
16100,1.18902
16200,1.1887
16300,1.19017
16400,1.19208
16500,1.19199
16600,1.20043
16700,1.21013
16800,1.21726
16900,1.22113
17000,1.22539
17100,1.22769
17200,1.2334
17300,1.24045
17400,1.24408
17500,1.25268
17600,1.2545
17700,1.25498
17800,1.26087
17900,1.27077
18000,1.27136
18100,1.27543
18200,1.27932
18300,1.27832
18400,1.28175
18500,1.28696
