Episode,AvgError
100,10.5217
200,11.3142
300,12.9194
400,13.6923
500,15.2027
600,16.2671
700,16.3326
800,17.3314
900,18.0652
1000,18.3913
1100,19.2464
1200,20.4474
1300,20.5165
1400,21.0644
1500,20.926
1600,21.7249
1700,22.2577
1800,22.8958
1900,22.9358
2000,23.2609
2100,23.1658
2200,23.9227
2300,23.9903
2400,24.576
2500,24.564
2600,24.9122
2700,24.874
2800,24.8673
2900,25.3554
3000,25.5251
3100,25.9316
3200,25.5402
3300,26.0479
3400,26.3701
3500,26.2469
3600,26.915
3700,27.0324
3800,27.0154
3900,26.7283
4000,27.3285
4100,27.5876
4200,27.6842
4300,27.5737
4400,27.9527
4500,27.901
4600,27.7341
4700,28.4371
4800,28.0566
4900,28.7183
5000,28.2959
5100,29.2349
5200,29.1639
5300,29.4846
5400,29.1474
5500,29.548
5600,29.2386
5700,29.2621
5800,29.5074
5900,29.4961
6000,29.5505
6100,29.7127
6200,29.1862
6300,29.7642
6400,29.9247
6500,29.925
6600,29.953
6700,30.3042
6800,30.1431
6900,30.1813
7000,30.1652
7100,30.6624
7200,30.6857
7300,31.0239
7400,30.8034
7500,30.46
7600,31.0333
7700,30.9552
7800,31.3068
7900,31.5763
8000,31.7059
8100,31.2678
8200,31.0919
8300,31.6374
8400,32.011
8500,31.5553
8600,31.5693
8700,31.3311
8800,31.9969
8900,31.8765
9000,31.1993
9100,31.4089
9200,31.5106
9300,31.4034
9400,31.334
9500,31.8965
9600,32.0148
9700,32.3299
9800,32.25
9900,32.1104
10000,31.9353
10100,31.8817
10200,31.9311
10300,32.0503
10400,32.2216
10500,32.0167
10600,32.2353
10700,32.8308
10800,32.1479
10900,32.2019
11000,32.6735
11100,32.1043
11200,32.7333
11300,32.6051
11400,32.5571
11500,32.817
11600,32.632
11700,32.9381
11800,32.3407
11900,32.7476
12000,32.5764
12100,32.7266
12200,33.035
12300,32.9161
12400,32.8041
12500,33.3576
12600,33.1968
12700,33.2292
12800,33.0425
12900,33.0061
13000,33.3562
13100,33.7064
13200,33.1855
13300,33.2431
13400,33.0189
13500,32.973
13600,33.1006
13700,33.3482
13800,33.3874
13900,33.5985
14000,33.6185
14100,33.3972
14200,33.5116
14300,33.697
14400,33.7308
14500,33.7463
14600,33.8184
14700,33.6909
14800,33.9306
14900,33.9143
15000,33.8132
15100,33.6233
15200,33.6905
15300,33.9723
15400,34.0278
15500,34.4682
15600,34.2365
15700,33.5575
15800,34.2615
15900,34.1782
16000,34.31
16100,34.3064
16200,33.7888
16300,33.6917
16400,33.7673
16500,33.9575
16600,34.1236
16700,34.1641
16800,34.351
16900,34.1452
17000,34.2574
17100,34.1977
17200,34.5707
17300,34.8114
17400,34.2588
17500,34.0617
17600,34.2111
17700,34.354
17800,34.7756
17900,34.3155
18000,34.3743
18100,34.286
18200,34.2168
18300,34.4949
18400,34.5318
18500,35.1623
18600,34.5685
18700,34.2327
18800,34.7357
18900,34.7522
19000,34.7258
19100,34.5288
19200,34.69
19300,34.6262
19400,34.9819
19500,34.9012
19600,35.0932
19700,35.0862
19800,35.1319
19900,34.9101
20000,34.8833
20100,34.6485
20200,35.1585
20300,35.0794
20400,34.6844
20500,35.0063
20600,34.9592
20700,34.9693
20800,35.199
20900,35.2473
21000,35.2764
21100,35.1277
21200,35.2911
21300,34.9618
21400,35.0368
21500,35.2234
21600,35.3569
21700,35.103
21800,35.2409
21900,35.2316
22000,35.4258
22100,35.1224
22200,35.0932
22300,35.3882
22400,35.5301
22500,36.1279
22600,35.4429
22700,35.517
22800,35.451
22900,35.354
23000,35.2499
23100,35.5569
23200,35.653
23300,35.3975
23400,35.5618
23500,35.8137
23600,35.2918
23700,35.6467
23800,35.7516
23900,36.075
24000,36.0993
24100,35.7351
24200,35.7787
24300,35.5132
24400,35.5118
24500,35.5987
24600,35.4941
24700,35.5845
24800,35.7963
24900,35.9135
25000,36.3496
25100,35.6433
25200,35.9564
25300,35.8418
25400,35.8117
25500,35.969
25600,36.1874
25700,36.4431
25800,35.9862
25900,36.0593
26000,36.0439
26100,35.9906
26200,35.4224
26300,35.6652
26400,35.719
26500,35.6936
26600,35.7611
26700,36.0735
26800,36.0723
26900,35.9329
27000,35.8206
27100,35.9671
27200,36.486
27300,35.9827
27400,35.5131
27500,35.9546
27600,36.1354
27700,35.8346
27800,35.5786
27900,35.8663
28000,36.1926
28100,36.0742
28200,36.2708
28300,35.9406
28400,36.1593
28500,35.9198
28600,36.3046
28700,36.0863
28800,36.1844
28900,35.5239
29000,35.8964
29100,35.8124
29200,36.092
29300,35.9121
29400,35.8391
29500,36.0173
29600,36.3825
29700,36.2928
29800,36.3013
29900,36.4107
30000,36.2809
30100,36.3638
30200,36.543
30300,36.3732
30400,36.2187
30500,36.2766
30600,36.833
30700,36.4612
30800,36.3425
30900,36.1272
31000,36.4263
31100,36.4168
31200,36.3435
31300,36.7241
31400,36.5028
31500,36.6415
31600,36.7068
31700,36.5021
31800,36.6179
31900,36.7132
32000,36.5588
32100,36.7937
32200,36.5767
32300,36.4956
32400,36.9964
32500,36.5356
32600,36.6781
32700,36.7214
32800,36.7492
32900,36.7196
33000,36.7814
33100,36.8434
33200,36.8073
33300,36.6824
33400,36.3629
33500,36.6099
33600,36.4542
33700,36.3874
33800,36.8754
33900,36.8377
34000,36.6004
34100,36.4195
34200,36.7623
34300,36.6246
34400,36.8064
34500,37.0684
34600,36.654
34700,36.6923
34800,36.5647
34900,36.6667
35000,36.9051
35100,36.7787
35200,36.6618
35300,37.0684
35400,36.6771
35500,37.1538
35600,36.566
35700,36.9579
35800,36.8214
35900,36.4856
36000,37.0577
36100,37.0629
36200,36.9002
36300,36.6106
36400,37.2817
36500,37.2573
36600,37.1558
36700,36.8824
36800,36.95
36900,36.9777
37000,37.0565
37100,37.0821
37200,37.0923
37300,37.163
37400,37.2004
37500,36.9558
37600,37.1747
37700,37.1712
37800,36.6961
37900,36.9768
38000,36.9798
38100,36.857
38200,37.3185
38300,36.8039
38400,37.2657
38500,37.0803
38600,37.1378
38700,37.1852
38800,36.7774
38900,37.0826
39000,36.8033
39100,36.9749
39200,37.2599
39300,37.1652
39400,37.3622
39500,37.0906
39600,37.1611
39700,36.8186
39800,37.1706
39900,37.0665
40000,37.464
40100,36.7944
40200,37.4062
40300,37.0343
40400,37.2188
40500,37.5323
40600,37.1128
40700,37.4199
40800,37.4344
40900,37.1334
41000,37.3826
41100,37.4386
41200,37.3512
41300,36.9327
41400,37.5009
41500,37.567
41600,37.3168
41700,37.5736
41800,37.8566
41900,37.3462
42000,37.868
42100,37.2843
42200,37.3141
42300,37.4613
42400,37.2471
42500,36.9649
42600,37.3698
42700,37.2926
42800,37.5271
42900,37.4637
43000,37.5395
43100,37.611
43200,37.0365
43300,37.7923
43400,37.3559
43500,37.1812
43600,37.458
43700,37.743
43800,37.6978
43900,37.4684
44000,37.2616
44100,37.0208
44200,37.4941
44300,37.4348
44400,37.0888
44500,37.3306
44600,37.2784
44700,37.4116
44800,36.9678
44900,37.5603
45000,37.4108
45100,37.2947
45200,37.4996
45300,37.2966
45400,37.0216
45500,37.1124
45600,37.0136
45700,37.282
45800,37.4984
45900,37.7262
46000,37.7358
46100,37.685
46200,37.6411
46300,37.8122
46400,37.6357
46500,37.6188
46600,37.9165
46700,38.1418
46800,37.7136
46900,37.6612
47000,37.4595
47100,37.5407
47200,37.7415
47300,37.1292
47400,37.6069
47500,37.0658
47600,37.359
47700,37.3582
47800,37.2421
47900,37.7393
48000,37.5438
48100,37.6765
48200,37.5463
48300,37.5325
48400,37.622
48500,37.8755
48600,37.9019
48700,37.2482
48800,37.7428
48900,37.6956
49000,37.4774
49100,37.2483
49200,37.6223
49300,37.7228
49400,37.6942
49500,37.6764
49600,37.6289
49700,37.9962
49800,37.8813
49900,37.8232
50000,37.6647
50100,37.7777
50200,37.9287
50300,37.6103
50400,38.1091
50500,37.595
50600,37.945
50700,38.0654
50800,37.7018
50900,38.3241
51000,37.8726
51100,37.988
51200,37.9134
51300,38.1583
51400,37.5934
51500,38.1205
