Episode,MemoryMB
100,0.376221
200,0.577576
300,0.732056
400,0.870514
500,0.98172
600,1.08047
700,1.1637
800,1.23199
900,1.29892
1000,1.36597
1100,1.42648
1200,1.48505
1300,1.54602
1400,1.59711
1500,1.64359
1600,1.69202
1700,1.73929
1800,1.78482
1900,1.82776
2000,1.86948
2100,1.90591
2200,1.94315
2300,1.98175
2400,2.02026
2500,2.05609
2600,2.08994
2700,2.12424
2800,2.15976
2900,2.19427
3000,2.22647
3100,2.259
3200,2.28204
3300,2.3139
3400,2.34409
3500,2.37695
3600,2.40613
3700,2.43668
3800,2.46658
3900,2.4935
4000,2.52072
4100,2.55026
4200,2.57852
4300,2.60504
4400,2.6322
4500,2.66074
4600,2.68832
4700,2.71405
4800,2.74136
4900,2.76758
5000,2.79443
5100,2.81973
5200,2.84103
5300,2.8674
5400,2.88956
5500,2.91632
5600,2.93875
5700,2.96039
5800,2.98318
5900,3.00674
6000,3.0278
6100,3.04828
6200,3.07098
6300,3.09335
6400,3.11612
6500,3.1366
6600,3.15698
6700,3.17859
6800,3.20038
6900,3.22125
7000,3.24252
7100,3.26355
7200,3.28387
7300,3.30161
7400,3.32306
7500,3.34265
7600,3.36346
7700,3.3815
7800,3.40234
7900,3.42102
8000,3.44156
8100,3.46011
8200,3.47928
8300,3.49808
8400,3.51791
8500,3.53506
8600,3.55386
8700,3.57196
8800,3.59125
8900,3.60962
9000,3.6279
9100,3.64874
9200,3.66418
9300,3.68167
9400,3.69794
9500,3.71558
9600,3.73206
9700,3.75064
9800,3.76797
9900,3.78452
10000,3.80249
10100,3.81924
10200,3.83633
10300,3.85281
10400,3.87024
10500,3.88675
10600,3.90283
10700,3.92053
10800,3.93759
10900,3.95261
11000,3.96942
11100,3.98578
11200,4.00146
11300,4.01865
11400,4.03284
11500,4.04959
11600,4.06558
11700,4.08023
11800,4.09613
11900,4.11002
12000,4.12347
12100,4.13998
12200,4.15479
12300,4.16989
12400,4.18436
12500,4.19754
12600,4.21396
12700,4.22876
12800,4.24359
12900,4.25784
13000,4.27197
13100,4.28473
13200,4.29922
13300,4.31467
13400,4.32867
13500,4.34097
13600,4.35422
13700,4.36758
13800,4.38232
13900,4.3963
14000,4.40945
14100,4.42267
14200,4.4364
14300,4.44931
14400,4.46194
14500,4.47659
14600,4.48828
14700,4.49991
14800,4.51422
14900,4.52954
15000,4.54443
15100,4.55841
15200,4.57272
15300,4.5849
15400,4.59622
15500,4.60944
15600,4.62268
15700,4.63708
15800,4.64917
15900,4.66342
16000,4.67572
16100,4.68665
16200,4.70157
16300,4.71375
16400,4.72723
16500,4.73877
16600,4.74982
16700,4.76294
16800,4.77509
16900,4.78726
17000,4.79941
17100,4.81165
17200,4.82208
17300,4.83405
17400,4.84613
17500,4.85797
17600,4.86926
17700,4.88101
17800,4.89163
17900,4.90308
18000,4.91348
18100,4.92444
18200,4.93604
18300,4.94983
18400,4.96127
18500,4.97504
18600,4.98413
18700,4.99493
18800,5.0062
18900,5.01822
19000,5.02966
19100,5.03961
19200,5.0502
19300,5.06149
19400,5.07272
19500,5.08429
19600,5.09598
19700,5.10663
19800,5.11771
19900,5.12936
20000,5.13931
20100,5.14923
20200,5.15964
20300,5.16943
20400,5.17908
20500,5.1897
20600,5.20093
20700,5.21143
20800,5.22137
20900,5.23221
21000,5.24207
21100,5.25311
21200,5.26334
21300,5.27158
21400,5.28168
21500,5.29297
21600,5.30316
21700,5.31314
21800,5.32355
21900,5.33359
22000,5.34256
22100,5.35352
22200,5.36374
22300,5.37244
22400,5.38425
22500,5.39426
22600,5.40475
22700,5.41489
22800,5.42328
22900,5.43314
23000,5.44272
23100,5.45197
23200,5.46027
23300,5.46887
23400,5.47879
23500,5.48755
23600,5.49683
23700,5.5065
23800,5.51736
23900,5.52667
24000,5.5351
24100,5.54504
24200,5.55618
24300,5.56561
24400,5.57483
24500,5.58401
24600,5.59198
24700,5.60107
24800,5.61096
24900,5.62085
25000,5.63077
25100,5.63861
25200,5.64682
25300,5.65524
25400,5.6651
25500,5.67386
25600,5.6832
25700,5.69156
25800,5.70071
25900,5.70877
26000,5.71783
26100,5.72699
26200,5.7363
26300,5.74472
26400,5.75372
26500,5.76169
26600,5.77115
26700,5.78085
26800,5.7886
26900,5.79572
27000,5.80478
27100,5.81442
27200,5.82205
27300,5.83142
27400,5.84103
27500,5.84973
27600,5.85849
27700,5.86615
27800,5.87454
27900,5.88312
28000,5.8902
28100,5.89963
28200,5.90851
28300,5.91626
28400,5.92441
28500,5.93234
28600,5.94025
28700,5.94943
28800,5.95743
28900,5.96494
29000,5.97382
29100,5.98294
29200,5.99155
29300,6.00085
29400,6.0087
29500,6.01709
29600,6.02673
29700,6.03513
29800,6.0419
29900,6.05072
30000,6.05862
30100,6.06567
30200,6.07449
30300,6.08212
30400,6.09045
30500,6.09824
30600,6.10632
