Episode,AvgQValue
100,2.86229
200,5.27164
300,7.15165
400,8.76114
500,9.96433
600,10.8434
700,11.6626
800,12.3538
900,13.1033
1000,13.8224
1100,14.3358
1200,14.7839
1300,15.1716
1400,15.5047
1500,15.9687
1600,16.3621
1700,16.658
1800,16.9861
1900,17.3588
2000,17.6789
2100,18.0474
2200,18.41
2300,18.6379
2400,18.9094
2500,19.1988
2600,19.4262
2700,19.5831
2800,19.8213
2900,20.0533
3000,20.2641
3100,20.4474
3200,20.5864
3300,20.8082
3400,20.9392
3500,21.0483
3600,21.1325
3700,21.2773
3800,21.3892
3900,21.496
4000,21.6851
4100,21.7772
4200,21.8558
4300,21.9568
4400,22.1081
4500,22.2179
4600,22.2898
4700,22.4076
4800,22.4845
4900,22.5636
5000,22.6281
5100,22.6852
5200,22.7514
5300,22.8104
5400,22.8711
5500,22.9698
5600,23.0891
5700,23.1303
5800,23.19
5900,23.2295
6000,23.2914
6100,23.3298
6200,23.3757
6300,23.4119
6400,23.516
6500,23.591
6600,23.6428
6700,23.6855
6800,23.7127
6900,23.7322
7000,23.7951
7100,23.8373
7200,23.8978
7300,23.972
7400,24.0044
7500,24.044
7600,24.0531
7700,24.1522
7800,24.2216
7900,24.2406
8000,24.2674
8100,24.2988
8200,24.3197
8300,24.3421
8400,24.3755
8500,24.3971
8600,24.4244
8700,24.4391
8800,24.4667
8900,24.5228
9000,24.5565
9100,24.5847
9200,24.6187
9300,24.6745
9400,24.7032
9500,24.7187
9600,24.7611
9700,24.772
9800,24.7968
9900,24.8167
10000,24.8424
