Episode,AvgError
100,13.062
200,16.9112
300,19.0083
400,19.5392
500,19.7857
600,19.5759
700,19.2624
800,18.9674
900,18.4817
1000,18.1359
1100,17.8243
1200,17.6178
1300,17.2825
1400,16.9956
1500,16.7531
1600,16.4814
1700,16.3411
1800,16.1154
1900,15.9876
2000,15.8948
2100,15.8011
2200,15.4632
2300,15.3536
2400,15.1068
2500,14.9935
2600,14.8958
2700,14.7602
2800,14.7047
2900,14.5139
3000,14.4989
3100,14.3802
3200,14.3041
3300,14.2752
3400,14.2073
3500,14.187
3600,14.1434
3700,14.0633
3800,14.0053
3900,13.9713
4000,14.0361
4100,13.9789
4200,13.953
4300,13.9471
4400,13.8345
4500,13.7681
4600,13.7172
4700,13.6507
4800,13.6724
4900,13.6144
5000,13.5564
5100,13.5543
5200,13.4958
5300,13.4539
5400,13.46
5500,13.4555
5600,13.3763
5700,13.3553
5800,13.3161
5900,13.3031
6000,13.262
6100,13.2361
6200,13.2157
6300,13.1925
6400,13.1785
6500,13.1749
6600,13.1354
6700,13.1224
6800,13.0967
6900,13.0856
7000,13.0804
7100,13.0857
7200,13.0396
7300,13.036
7400,13.0297
7500,13.0053
7600,12.9968
7700,12.99
7800,12.9634
7900,12.9529
8000,12.9437
8100,12.9269
8200,12.9098
8300,12.8968
8400,12.8723
8500,12.8849
8600,12.8713
8700,12.8661
8800,12.865
8900,12.8241
9000,12.8521
9100,12.872
9200,12.904
9300,12.9194
9400,12.8998
9500,12.8923
9600,12.8763
9700,12.8695
9800,12.8758
9900,12.8865
10000,12.8861
