Episode,AvgNodeCount
100,150
200,156.25
300,168.75
400,169.25
500,170.25
600,171
700,172.75
800,174.25
900,175.5
1000,176.5
1100,177
1200,178
1300,178
1400,178
1500,180
1600,180
1700,180
1800,180
1900,181.75
2000,182.75
2100,183.5
2200,183.5
2300,183.5
2400,183.5
2500,183.5
2600,183.5
2700,183.5
2800,184.25
2900,184.25
3000,184.25
3100,184.25
3200,184.25
3300,185
3400,185
3500,185
3600,185
3700,185
3800,185
3900,185.25
4000,186.75
4100,186.75
4200,186.75
4300,187.5
4400,188.5
4500,188.75
4600,188.75
4700,189
4800,189.25
4900,189.25
5000,189
5100,189
5200,189.5
5300,189
5400,189
5500,189.25
5600,189.25
5700,189.25
5800,189.25
5900,189.25
6000,189.5
6100,189.5
6200,189.5
6300,189.5
6400,189.5
6500,199
6600,199
6700,199
6800,199
6900,199
7000,199
7100,199
7200,198.75
7300,198.75
7400,198.75
7500,198.75
7600,198.5
7700,198.5
7800,199
7900,199
8000,201
8100,201.5
8200,201.5
8300,201.25
8400,201.25
8500,201.25
8600,201
8700,201
8800,201
8900,201.5
9000,201.5
9100,201.5
9200,201.5
9300,201.5
9400,201.5
9500,201.5
9600,201.75
9700,201.75
9800,201.75
9900,201.75
10000,201.75
