Episode,DurationSeconds
1,0.000700581
2,0.000596378
3,0.000610276
4,0.000585203
5,6.2019e-05
6,4.4839e-05
7,3.7156e-05
8,0.000149949
9,0.000204775
10,3.2686e-05
11,6.0552e-05
12,7.6826e-05
13,2.6331e-05
14,0.000214623
15,7.2984e-05
16,7.8991e-05
17,3.7784e-05
18,0.000170134
19,4.5466e-05
20,5.8108e-05
21,8.0597e-05
22,3.3803e-05
23,6.6419e-05
24,6.5232e-05
25,0.000138426
26,6.0063e-05
27,0.000108743
28,0.00209923
29,0.000276991
30,9.5404e-05
31,9.7778e-05
32,0.00130883
33,0.000222306
34,8.1435e-05
35,0.000122013
36,0.000168807
37,9.729e-05
38,6.2997e-05
39,6.4813e-05
40,6.2927e-05
41,4.4e-05
42,8.2483e-05
43,8.8699e-05
44,7.6895e-05
45,8.6324e-05
46,6.586e-05
47,5.8597e-05
48,6.9144e-05
49,3.562e-05
50,0.00010148
51,0.000122502
52,5.0286e-05
53,3.3384e-05
54,4.1975e-05
55,8.1714e-05
56,0.000173556
57,4.1067e-05
58,5.9994e-05
59,0.00020268
60,0.000591349
61,0.000135074
62,9.254e-05
63,7.0261e-05
64,5.0006e-05
65,0.000129207
66,5.6432e-05
67,7.3334e-05
68,0.000128787
69,3.0102e-05
70,0.000150858
71,0.000159938
72,0.000109791
73,0.000168947
74,0.000120687
75,9.729e-05
76,7.089e-05
77,0.000133607
78,9.0584e-05
79,0.00015407
80,7.4311e-05
81,3.9391e-05
82,7.8991e-05
83,0.000133886
84,4.2254e-05
85,7.5359e-05
86,3.3454e-05
87,5.2381e-05
88,8.6743e-05
89,9.2051e-05
90,0.000153302
91,7.4171e-05
92,9.4915e-05
93,5.2451e-05
94,5.7479e-05
95,0.000111048
96,0.000133188
97,8.7232e-05
98,4.9099e-05
99,0.000136191
100,8.3111e-05
101,5.6153e-05
102,0.000197791
103,0.000148553
104,8.9118e-05
105,0.000112584
106,0.000152185
107,0.00116628
108,0.000151626
109,3.6317e-05
110,6.4184e-05
111,6.7816e-05
112,0.000109581
113,0.000104134
114,5.0006e-05
115,0.000134306
116,6.3277e-05
117,8.3879e-05
118,3.534e-05
119,5.3639e-05
120,6.9911e-05
121,3.9111e-05
122,6.2369e-05
123,8.0178e-05
124,7.6057e-05
125,6.3975e-05
126,7.0121e-05
127,9.1143e-05
128,8.7372e-05
129,8.9187e-05
130,0.000167969
131,0.000112166
132,3.6318e-05
133,0.000106718
134,5.9575e-05
135,6.2439e-05
136,4.9029e-05
137,0.000102946
138,4.5397e-05
139,0.000128858
140,8.8279e-05
141,5.9575e-05
142,4.2813e-05
143,5.7899e-05
144,4.421e-05
145,3.0102e-05
146,0.000113982
147,2.9474e-05
148,8.5347e-05
149,9.1632e-05
150,5.1893e-05
151,6.3766e-05
152,0.000100712
153,5.2382e-05
154,0.000123131
155,6.7257e-05
156,4.6375e-05
157,3.4781e-05
158,8.7442e-05
159,9.7778e-05
160,5.2521e-05
161,6.7956e-05
162,0.000102318
163,6.7676e-05
164,0.000135283
165,0.000112026
166,0.000100014
167,5.6572e-05
168,4.8679e-05
169,0.000101549
170,4.6025e-05
171,8.8e-05
172,0.000115029
173,0.000114959
174,8.5835e-05
175,4.1625e-05
176,0.000135213
177,8.0946e-05
178,3.9181e-05
179,4.3232e-05
180,0.00015421
181,8.7302e-05
182,4.9378e-05
183,0.000106159
184,6.1111e-05
185,0.000139753
186,9.6311e-05
187,4.2534e-05
188,7.6546e-05
189,7.7803e-05
190,0.000120616
191,9.0096e-05
192,9.3028e-05
193,3.4921e-05
194,0.00012348
195,0.000109651
196,6.7677e-05
197,9.8337e-05
198,9.6381e-05
199,3.7295e-05
200,0.000120896
201,0.000198769
202,0.000131163
203,0.000103366
204,8.7512e-05
205,9.8128e-05
206,8.6744e-05
207,0.000193881
208,5.1892e-05
209,0.00169484
210,0.000120686
211,0.000183055
212,7.5009e-05
213,7.6337e-05
214,3.967e-05
215,5.0985e-05
216,5.1124e-05
217,3.4293e-05
218,5.1473e-05
219,8.1994e-05
220,4.5466e-05
221,8.1505e-05
222,4.5537e-05
223,7.7943e-05
224,0.000150159
225,9.6032e-05
226,8.4927e-05
227,6.9073e-05
228,5.0286e-05
229,0.000137309
230,4.9727e-05
231,8.9467e-05
232,4.7702e-05
233,6.3416e-05
234,8.4019e-05
235,7.2146e-05
236,5.734e-05
237,5.4895e-05
238,3.8971e-05
239,6.174e-05
240,6.3416e-05
241,9.7779e-05
242,9.4007e-05
243,5.3988e-05
244,2.7657e-05
245,6.139e-05
246,6.8584e-05
247,6.9003e-05
248,4.1137e-05
249,5.6222e-05
250,6.7327e-05
251,8.7721e-05
252,6.3905e-05
253,5.6222e-05
254,5.0565e-05
255,3.3803e-05
256,0.000179074
257,7.6616e-05
258,6.6489e-05
259,8.4997e-05
260,5.5384e-05
261,7.7594e-05
262,5.3917e-05
263,4.3022e-05
264,0.00013214
265,3.4013e-05
266,0.000120686
267,6.2019e-05
268,0.000178375
269,0.000116286
270,5.8946e-05
271,7.6267e-05
272,6.6839e-05
273,3.527e-05
274,0.000110909
275,0.000418421
276,0.000117543
277,6.7747e-05
278,8.388e-05
279,6.9004e-05
280,0.000119848
281,9.1422e-05
282,7.0121e-05
283,7.5778e-05
284,4.7772e-05
285,9.268e-05
286,4.3791e-05
287,0.000119708
288,0.000108394
289,4.2952e-05
290,0.000110629
291,4.1416e-05
292,0.000105671
293,8.5416e-05
294,0.000120965
295,4.3371e-05
296,0.000111188
297,9.5823e-05
298,6.7746e-05
299,0.00136463
300,8.0457e-05
301,0.00011014
302,5.0286e-05
303,0.000124527
304,0.000199327
305,6.5721e-05
306,0.000128229
307,6.1949e-05
308,0.00012767
309,7.6406e-05
310,9.4426e-05
311,6.5861e-05
312,8.0109e-05
313,0.000146458
314,4.8609e-05
315,6.4464e-05
316,0.000103087
317,7.4801e-05
318,4.1067e-05
319,2.8355e-05
320,2.668e-05
321,5.6851e-05
322,5.3918e-05
323,0.000111887
324,7.5639e-05
325,4.0019e-05
326,7.3963e-05
327,7.9689e-05
328,5.6292e-05
329,3.3384e-05
330,4.1416e-05
331,8.4368e-05
332,7.2147e-05
333,2.5772e-05
334,3.2896e-05
335,2.6191e-05
336,0.000136679
337,5.4337e-05
338,4.1625e-05
339,4.8121e-05
340,5.1124e-05
341,2.6331e-05
342,0.000103575
343,0.00013682
344,4.0927e-05
345,8.2693e-05
346,0.000152604
347,0.000140521
348,8.6673e-05
349,8.3391e-05
350,9.1074e-05
351,8.9188e-05
352,3.8064e-05
353,8.7022e-05
354,0.000124038
355,4.6585e-05
356,3.8902e-05
357,4.6165e-05
358,9.5892e-05
359,5.8038e-05
360,9.0375e-05
361,7.2006e-05
362,0.000104553
363,2.9403e-05
364,0.000103016
365,6.7606e-05
366,6.8514e-05
367,3.1708e-05
368,2.9962e-05
369,2.9054e-05
370,8.395e-05
371,3.7715e-05
372,6.4463e-05
373,2.3886e-05
374,7.7804e-05
375,1.9416e-05
376,0.000104832
377,5.6921e-05
378,6.3905e-05
379,3.8133e-05
380,2.7308e-05
381,5.0426e-05
382,5.0077e-05
383,6.2858e-05
384,5.252e-05
385,5.7689e-05
386,7.4591e-05
387,2.7657e-05
388,3.2406e-05
389,3.6737e-05
390,3.8553e-05
391,6.2998e-05
392,2.0464e-05
393,4.7911e-05
394,2.5701e-05
395,5.3848e-05
396,7.019e-05
397,4.9448e-05
398,3.7366e-05
399,4.9239e-05
400,4.9099e-05
401,3.6318e-05
402,9.1493e-05
403,5.0426e-05
404,0.00104888
405,6.642e-05
406,7.8293e-05
407,6.7747e-05
408,4.379e-05
409,2.9473e-05
410,5.7061e-05
411,7.054e-05
412,3.101e-05
413,0.00013228
414,4.861e-05
415,7.1029e-05
416,0.000109302
417,9.9035e-05
418,9.5333e-05
419,5.9645e-05
420,0.000103156
421,6.4394e-05
422,9.8127e-05
423,3.6527e-05
424,4.2044e-05
425,3.8553e-05
426,7.8782e-05
427,7.068e-05
428,7.054e-05
429,7.2147e-05
430,0.00010155
431,0.000152604
432,4.2743e-05
433,9.8826e-05
434,0.000120686
435,2.4793e-05
436,3.3314e-05
437,7.4521e-05
438,2.619e-05
439,4.5467e-05
440,4.6165e-05
441,0.00011007
442,6.9422e-05
443,3.9041e-05
444,7.5988e-05
445,9.4705e-05
446,0.000115867
447,3.534e-05
448,0.000119709
449,7.5917e-05
450,9.2051e-05
451,3.4781e-05
452,3.499e-05
453,9.7289e-05
454,8.4299e-05
455,8.793e-05
456,0.000151696
457,4.4489e-05
458,8.0807e-05
459,3.4711e-05
